model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
sorter.3,renault,1,3.950,2015-12-02.20:33:08,1177164,1288478,2740540,1288478,2740540,1,-1,-1,-1,-1
bakery.6,ufscc,2,27.520,2015-12-02.20:33:37,2636212,11845035,40400559,11883753,40524652,1,0,7208782,21413240,11846012
cambridge.6,ufscc,2,10.780,2015-12-02.20:33:49,8413,3354295,9483191,3375543,9553239,1,0,9740,6153468,3362590
leader_filters.7,ufscc,2,48.510,2015-12-02.20:34:39,26302351,26302351,91692858,26304491,91702971,1,0,65394720,0,26304491
lup.3,ufscc,2,5.520,2015-12-02.20:34:47,1,1948617,3621672,1950260,3624660,1,0,0,1674561,1948767
resistance.1,ufscc,2,25.210,2015-12-02.20:35:13,3,13762624,32052024,14570704,34047629,1,0,1,19151849,13944589
sorter.3,ufscc,2,3.320,2015-12-02.20:35:18,1177164,1288478,2740540,1291412,2745935,1,251463,1025646,176707,1290930
bakery.6,renault,2,46.570,2015-12-02.20:36:05,2636212,11845035,40400559,20187176,69288610,1,-1,-1,-1,-1
cambridge.6,renault,2,19.020,2015-12-02.20:36:26,8413,3354295,9483191,6700178,18951606,1,-1,-1,-1,-1
leader_filters.7,renault,2,43.590,2015-12-02.20:37:11,26302351,26302351,91692858,26331709,91819576,1,-1,-1,-1,-1
lup.3,renault,2,6.580,2015-12-02.20:37:20,1,1948617,3621672,3897234,7243344,1,-1,-1,-1,-1
resistance.1,renault,2,48.200,2015-12-02.20:38:09,3,13762624,32052024,27525248,64104048,1,-1,-1,-1,-1
sorter.3,renault,2,2.390,2015-12-02.20:38:12,1177164,1288478,2740540,1395306,2975857,1,-1,-1,-1,-1
bakery.6,ufscc,4,13.770,2015-12-02.20:38:27,2636212,11845035,40400559,11923218,40686823,1,0,7232090,21436794,11870113
cambridge.6,ufscc,4,5.930,2015-12-02.20:38:35,8413,3354295,9483191,3381544,9572716,1,0,9720,6155953,3361607
leader_filters.7,ufscc,4,24.420,2015-12-02.20:39:01,26302351,26302351,91692858,26341515,91842261,1,0,65452047,0,26341515
lup.3,ufscc,4,2.950,2015-12-02.20:39:06,1,1948617,3621672,1957496,3640274,1,0,0,1681308,1949938
resistance.1,ufscc,4,14.350,2015-12-02.20:39:21,3,13762624,32052024,15981685,37337345,1,0,1,19904357,14759239
sorter.3,ufscc,4,2.060,2015-12-02.20:39:25,1177164,1288478,2740540,1309574,2781614,1,254450,1032729,179126,1307683
bakery.6,renault,4,47.700,2015-12-02.20:40:13,2636212,11845035,40400559,37946982,130926423,1,-1,-1,-1,-1
cambridge.6,renault,4,18.220,2015-12-02.20:40:33,8413,3354295,9483191,13383762,37859547,1,-1,-1,-1,-1
leader_filters.7,renault,4,22.040,2015-12-02.20:40:57,26302351,26302351,91692858,26339478,91855585,1,-1,-1,-1,-1
lup.3,renault,4,7.540,2015-12-02.20:41:07,1,1948617,3621672,7752550,14420695,1,-1,-1,-1,-1
resistance.1,renault,4,52.230,2015-12-02.20:41:59,3,13762624,32052024,55050494,128208094,1,-1,-1,-1,-1
sorter.3,renault,4,1.640,2015-12-02.20:42:03,1177164,1288478,2740540,1527109,3263908,1,-1,-1,-1,-1
bakery.6,ufscc,6,9.370,2015-12-02.20:42:13,2636212,11845035,40400559,11960243,40793368,1,0,7229740,21470080,11869186
cambridge.6,ufscc,6,4.320,2015-12-02.20:42:19,8413,3354295,9483191,3430922,9737377,1,0,9745,6212826,3384032
leader_filters.7,ufscc,6,16.970,2015-12-02.20:42:37,26302351,26302351,91692858,26313430,91737852,1,0,65407072,0,26313430
lup.3,ufscc,6,4.280,2015-12-02.20:42:44,1,1948617,3621672,2047517,3824455,1,0,0,1744577,1966598
