model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
lup.3,ufscc,1,0.892308,2015-09-05.01:29:05,1,1948617,3621672,1948617,3621672,1,0,0,1673056,1948616
resistance.1,ufscc,1,5.08712,2015-09-05.01:29:14,3,13762624,32052024,13762624,32052024,1,0,1,18289400,13762623
sorter.3,ufscc,1,0.218159,2015-09-05.01:29:15,1177164,1288478,2740540,1288478,2740540,1,251094,1024992,175977,1288477
bakery.6,ufscc,2,2.510376,2015-09-05.01:29:21,2636212,11845035,40400559,11858269,40448324,9,0,7224113,21373330,11850881
cambridge.6,ufscc,2,0.667527,2015-09-05.01:29:23,8413,3354295,9483191,3367849,9525447,2,0,9764,6159427,3356256
L1750L1750T1,ufscc,2,1.610865,2015-09-05.01:29:27,3,9198003,24528008,10712749,30586992,3,0,9161492,10735154,10690346
L350L350T4,ufscc,2,0.586828,2015-09-05.01:29:29,31,3819231,11334492,3878446,11571161,9,0,3814436,3879387,3877338
L4L4T16,ufscc,2,0.478,2015-09-05.01:29:31,131071,3276775,9830300,3295477,9886844,5,0,3163330,3432141,3291373
leader_filters.7,ufscc,2,2.981785,2015-09-05.01:29:43,26302351,26302351,91692858,26415847,92099560,222,0,65676158,0,26423402
Li10Lo200,ufscc,2,0.720389,2015-09-05.01:29:45,100,4000000,15200000,4832604,18478625,12,0,8815481,4873109,4790035
Li200Lo10,ufscc,2,0.818731,2015-09-05.01:29:48,40000,4000000,15960000,4956851,19781995,106,0,9812182,5006617,4963196
Li50Lo40,ufscc,2,0.722502,2015-09-05.01:29:50,2500,4000000,15840000,4876906,19332638,52,0,9575838,4907858,4848942
lup.3,ufscc,2,0.487118,2015-09-05.01:29:51,1,1948617,3621672,1948643,3621722,2,0,0,1673081,1948641
resistance.1,ufscc,2,2.912951,2015-09-05.01:29:58,3,13762624,32052024,13859421,32263388,2,0,1,18449784,13813603
sorter.3,ufscc,2,0.139538,2015-09-05.01:29:58,1177164,1288478,2740540,1399154,2943895,25,267340,1083683,194872,1398000
