model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
brp.4,tarjan,1,30.650,2015-12-02.04:35:44,1696242,12068447,25085950,12068447,25085950,1,-1,-1,-1,-1
brp.5,tarjan,1,47.280,2015-12-02.04:36:32,2500602,17740267,36903290,17740267,36903290,1,-1,-1,-1,-1
cambridge.6,tarjan,1,16.610,2015-12-02.04:36:50,8413,3354295,9483191,3354295,9483191,1,-1,-1,-1,-1
cambridge.7,tarjan,1,74.860,2015-12-02.04:38:07,127380,11465015,54850496,11465015,54850496,1,-1,-1,-1,-1
elevator2.3,tarjan,1,45.320,2015-12-02.04:38:53,1,7667712,55377920,7667712,55377920,1,-1,-1,-1,-1
elevator_planning.2,tarjan,1,85.550,2015-12-02.04:40:19,8,11428767,93278857,11428767,93278857,1,-1,-1,-1,-1
exit.1,tarjan,1,6.220,2015-12-02.04:40:27,3239334,3239334,7491035,3239334,7491035,1,-1,-1,-1,-1
exit.3,tarjan,1,5.690,2015-12-02.04:40:34,2356294,2356294,7047332,2356294,7047332,1,-1,-1,-1,-1
extinction.4,tarjan,1,7.040,2015-12-02.04:40:44,2001372,2001372,7116790,2001372,7116790,1,-1,-1,-1,-1
firewire_tree.5,tarjan,1,39.960,2015-12-02.04:42:25,3807023,3807023,18225703,3807023,18225703,1,-1,-1,-1,-1
fischer.3,tarjan,1,12.560,2015-12-02.04:42:38,1,2896705,12280586,2896705,12280586,1,-1,-1,-1,-1
fischer.4,tarjan,1,5.100,2015-12-02.04:42:44,1,1272254,4609671,1272254,4609671,1,-1,-1,-1,-1
fischer.6,tarjan,1,38.490,2015-12-02.04:43:24,1,8321728,33454191,8321728,33454191,1,-1,-1,-1,-1
frogs.4,tarjan,1,38.710,2015-12-02.04:44:03,17443219,17443219,36286061,17443219,36286061,1,-1,-1,-1,-1
iprotocol.3,tarjan,1,3.380,2015-12-02.04:44:07,244098,1013456,3412754,1013456,3412754,1,-1,-1,-1,-1
iprotocol.4,tarjan,1,10.340,2015-12-02.04:44:19,1037386,3290916,11071177,3290916,11071177,1,-1,-1,-1,-1
iprotocol.5,tarjan,1,96.370,2015-12-02.04:45:56,11018902,31071582,104572634,31071582,104572634,1,-1,-1,-1,-1
krebs.4,tarjan,1,4.290,2015-12-02.04:46:01,1047405,1047405,5246321,1047405,5246321,1,-1,-1,-1,-1
lamport.5,tarjan,1,3.450,2015-12-02.04:46:05,140496,1066800,3630664,1066800,3630664,1,-1,-1,-1,-1
