model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
random,tarjan,1,10.060137,2015-09-02.16:53:04,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,tarjan,1,8.255631,2015-09-02.16:53:21,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,tarjan,1,1.689753,2015-09-02.16:53:33,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,tarjan,1,4.289988,2015-09-02.16:53:47,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,ufscc,1,6.959882,2015-09-02.16:53:59,971232,4847571,68993773,4847571,68993773,402126,518382,2232250,61797696,4445445
patent,ufscc,1,1.623521,2015-09-02.16:54:03,3774768,3774768,16518948,3774768,16518948,871085,1,13615264,0,2903683
pokec,ufscc,1,3.313791,2015-09-02.16:54:09,325893,1632804,30622564,1632804,30622564,115911,0,1223988,27881683,1516893
random,ufscc,1,20.331084,2015-09-02.16:54:37,877,10000001,100000000,10000001,100000000,423,0,8134,89992288,9999578
rmat,ufscc,1,17.969501,2015-09-02.16:55:04,2247072,9999994,100000000,9999994,100000000,1686096,0,1838376,89847726,8313898
ssca2,ufscc,1,5.360376,2015-09-02.16:55:19,31,1048577,157877986,1048577,157877986,22,0,71,156829360,1048555
wiki-links,ufscc,1,10.138998,2015-09-02.16:55:40,2002220,5710993,130160392,5710993,130160392,1963865,12285,3698720,122702259,3747128
livej,ufscc,2,3.767884,2015-09-02.16:55:49,971232,4847571,68993773,4847923,69041737,401913,518494,2232864,61844348,4446031
patent,ufscc,2,1.028057,2015-09-02.16:55:51,3774768,3774768,16518948,3774782,16519043,862144,1,13606401,0,2912641
pokec,ufscc,2,1.856456,2015-09-02.16:55:56,325893,1632804,30622564,1648247,31437654,115976,0,1242356,28676742,1518556
random,ufscc,2,10.550368,2015-09-02.16:56:15,877,10000001,100000000,10237819,102027347,424,0,8238,92019363,9999746
rmat,ufscc,2,9.492838,2015-09-02.16:56:33,2247072,9999994,100000000,10145997,103979296,1686100,0,1890011,93772285,8317000
ssca2,ufscc,2,3.21629,2015-09-02.16:56:47,31,1048577,157877986,1082116,159492518,23,0,161,158441564,1050793
wiki-links,ufscc,2,5.364003,2015-09-02.16:57:02,2002220,5710993,130160392,5712220,130362284,1962879,12285,3697768,122902805,3749426
livej,ufscc,4,2.161671,2015-09-02.16:57:09,971232,4847571,68993773,4894221,72216107,401320,530203,2287912,64930316,4467676
patent,ufscc,4,0.602196,2015-09-02.16:57:12,3774768,3774768,16518948,3774979,16520358,844561,1,13589865,0,2930492
pokec,ufscc,4,0.967031,2015-09-02.16:57:15,325893,1632804,30622564,1649424,31549260,116171,0,1246057,28785049,1518154
random,ufscc,4,5.661237,2015-09-02.16:57:30,877,10000001,100000000,10623443,106245472,426,0,8440,96237267,9999765
rmat,ufscc,4,5.254001,2015-09-02.16:57:43,2247072,9999994,100000000,10369494,109497902,1686101,0,1973040,99206166,8318696
ssca2,ufscc,4,1.742027,2015-09-02.16:57:55,31,1048577,157877986,1109215,167186289,25,0,72,166123855,1062362
wiki-links,ufscc,4,2.940365,2015-09-02.16:58:08,2002220,5710993,130160392,5728211,131811508,1962675,12495,3698445,124345192,3755376
livej,ufscc,6,1.515006,2015-09-02.16:58:15,971232,4847571,68993773,4916314,73098421,401024,536314,2317718,65772853,4471536
patent,ufscc,6,0.443425,2015-09-02.16:58:17,3774768,3774768,16518948,3774901,16519954,833715,1,13578724,0,2941229
pokec,ufscc,6,0.714809,2015-09-02.16:58:20,325893,1632804,30622564,1699135,34218227,116897,0,1308843,31385857,1523527
random,ufscc,6,4.022429,2015-09-02.16:58:32,877,10000001,100000000,10097515,100975293,428,0,8171,90967271,9999851
rmat,ufscc,6,3.695074,2015-09-02.16:58:44,2247072,9999994,100000000,10430083,108400769,1686116,0,1979624,98100348,8320797
ssca2,ufscc,6,1.152738,2015-09-02.16:58:56,31,1048577,157877986,1115324,166972466,27,0,363,165904360,1067743
wiki-links,ufscc,6,2.062349,2015-09-02.16:59:08,2002220,5710993,130160392,5797210,138166549,1963703,13293,3701504,130674527,3777225
livej,ufscc,8,1.239626,2015-09-02.16:59:15,971232,4847571,68993773,4985143,77806357,400881,554172,2401148,70352674,4498363
patent,ufscc,8,0.357123,2015-09-02.16:59:17,3774768,3774768,16518948,3775099,16520750,827286,1,13572792,0,2947957
pokec,ufscc,8,0.637545,2015-09-02.16:59:20,325893,1632804,30622564,1819564,40377837,117366,0,1461206,37380065,1536566
random,ufscc,8,3.2656,2015-09-02.16:59:32,877,10000001,100000000,10174056,101741146,430,0,8218,91732912,10000016
rmat,ufscc,8,2.986576,2015-09-02.16:59:43,2247072,9999994,100000000,10677291,114895677,1686112,0,2076216,104492361,8327100
ssca2,ufscc,8,1.001898,2015-09-02.16:59:54,31,1048577,157877986,1287167,191165896,29,0,116,190076297,1089483
wiki-links,ufscc,8,2.046911,2015-09-02.17:00:06,2002220,5710993,130160392,6595926,183407054,1963090,18245,3716732,175730048,3942029
livej,ufscc,12,0.965457,2015-09-02.17:00:13,971232,4847571,68993773,5009480,82537120,400555,568140,2479855,74985399,4503726
patent,ufscc,12,0.310746,2015-09-02.17:00:14,3774768,3774768,16518948,3775357,16522998,822719,1,13570062,0,2952935
pokec,ufscc,12,0.422715,2015-09-02.17:00:17,325893,1632804,30622564,1722577,35537447,117874,0,1338179,32676400,1522868
random,ufscc,12,2.302401,2015-09-02.17:00:28,877,10000001,100000000,10126179,101265838,434,0,8176,91257107,10000555
rmat,ufscc,12,2.348077,2015-09-02.17:00:39,2247072,9999994,100000000,11075078,118535524,1686104,0,2154844,108052067,8328613
ssca2,ufscc,12,0.760901,2015-09-02.17:00:50,31,1048577,157877986,1424252,213254692,33,0,294,212154512,1099886
wiki-links,ufscc,12,1.236456,2015-09-02.17:01:01,2002220,5710993,130160392,5805300,140271766,1963930,13622,3703047,132782977,3772120
livej,ufscc,16,0.854209,2015-09-02.17:01:07,971232,4847571,68993773,5013433,81690077,400482,565948,2473674,74152391,4498064
patent,ufscc,16,0.264304,2015-09-02.17:01:09,3774768,3774768,16518948,3775081,16521526,819089,1,13565414,0,2956111
pokec,ufscc,16,0.36972,2015-09-02.17:01:12,325893,1632804,30622564,1771955,37766670,118368,0,1401552,34839037,1526081
random,ufscc,16,1.899579,2015-09-02.17:01:22,877,10000001,100000000,10210960,102127116,438,0,8227,92114824,10004065
rmat,ufscc,16,2.058947,2015-09-02.17:01:33,2247072,9999994,100000000,11242234,124263664,1686124,0,2266565,113652859,8344240
ssca2,ufscc,16,0.808626,2015-09-02.17:01:44,31,1048577,157877986,1972667,297842210,37,0,275,296713874,1128061
wiki-links,ufscc,16,1.075529,2015-09-02.17:01:55,2002220,5710993,130160392,5891382,148561764,1964322,14430,3706537,141057506,3783291
livej,ufscc,24,0.659562,2015-09-02.17:02:01,971232,4847571,68993773,4950001,76158797,400141,545977,2370905,68778679,4463236
patent,ufscc,24,0.228023,2015-09-02.17:02:03,3774768,3774768,16518948,3775656,16525612,813811,1,13563349,0,2962262
pokec,ufscc,24,0.302594,2015-09-02.17:02:05,325893,1632804,30622564,1758887,37999205,118528,0,1407195,35066617,1525393
random,ufscc,24,1.605863,2015-09-02.17:02:15,877,10000001,100000000,10115204,101154968,446,0,8159,91144677,10002132
rmat,ufscc,24,1.39036,2015-09-02.17:02:25,2247072,9999994,100000000,10161503,103438934,1686136,0,1895457,93226357,8317120
ssca2,ufscc,24,0.428324,2015-09-02.17:02:36,31,1048577,157877986,1565085,230156159,45,0,460,229043095,1112604
wiki-links,ufscc,24,1.01368,2015-09-02.17:02:47,2002220,5710993,130160392,6176919,170686000,1964971,17100,3714592,163115064,3839244
livej,ufscc,32,0.756415,2015-09-02.17:02:53,971232,4847571,68993773,5126126,87611790,400211,593393,2600712,79909090,4508595
patent,ufscc,32,0.28995,2015-09-02.17:02:55,3774768,3774768,16518948,3775411,16524923,820574,1,13569834,0,2955088
